product_id,product_name,category,skintype,concern,user_rating
1,venusia max intensive moisturizing cream,moisturizer,dry,"acne ,  hydration",4
2,saslic foaming face wash,facewash,"oily , combination","whitehead ,  blackhead",3
3,the derma co 1% hyaluronic sunscreen aqua ultra light gel with spf 50 pa++++,sunscreen,dry,sunprotection,5
4,hyalugel,moisturizer,dry,hydration,4
5,himalaya neem face wash,facewash,normal,acne,3
6,mamaearth ubtan face wash with turmeric & saffron for tan removal,facewash,normal,pigmentation,4
7,kama ayurveda pure rosewater,toner,normal,"hydration ,  irritation",4
8,simple kind to skin moisturizing facial wash,facewash,normal,"hydration ,  irritation",5
9,emolene,moisturizer,dry,hydration,3
10,requil ceramide and hyaluronic acid moisturizer,moisturizer,dry,hydration,5
11,simple replenishing rich moisturiser,moisturizer,dry,hydration,4
12,foxtale one zit wonder acne spot corrector gel,cream,"dry , oily , normal , combination , sensitive",acne,4
13,"re' equil oxybenzone and omc free sunscreen for oily, sensitive & acne prone skin, spf 50 ",sunscreen,"sensitive , oily",sunprotection,5
14,dr. sheth's haldi & hyaluronic acid sunscreen,sunscreen,oily,sunprotection,5
15,"minimalist 2% salicylic acid serum for acne, blackheads & open pores",serum,"dry , oily , normal , combination , sensitive","acne ,  whitehead ,  blackhead",5
16,2% niacinamide & rice water spf 50 pa+++ hybrid sunscreen,sunscreen,dry,sunprotection,5
17,dot & key watermelon cooling spf 50 sunscreen,sunscreen,"combination , oily",sunprotection,5
18,klm klin face wash,facewash,oily,acne,3
19,evion cream with aloe vera & vitamin e (1%),moisturizer,dry,darkspots,3
20,moduseb moist moisturiser,moisturizer,"oily , combination",hydration,4
21,rivela tint sunscreen lotion spf 50,sunscreen,dry,sunprotection,5
22,aziclear anti acne facial cleanser,cleanser,oily,acne,3
23,juniper berry oil free moisturiser,moisturizer,sensitive,acne,4
24,kama aryuveda nimrah anti acne face pack,facemask,sensitive,acne,4
25,forest essentials delicate facial cleanser kashmiri saffron & neem,cleanser,"sensitive , oily",acne,4
26,blynds spf 40 sunscreen,sunscreen,oily,sunprotection,5
27,dr.sheth's haldi & hyaluronic acid sleeping mask,facemask,normal,hydration,5
28,dr.sheth's liquorice & lactic acid peel,facemask,combination,pigmentation,3
29,"tamanu, kakadu plum and frankincense face wash",facewash,"normal , combination",pigmentation,4
30,acnedew anti acne & anti pimple cream,cream,"normal , combination , oily , dry , sensitive",acne,5
31,deriva cms gel,gel,dry,acne,3
32,kojivit ultra gel,gel,"dry , sensitive , combination","darkspots ,  pigmentation",4
33,sbl silk n stay aloe vera cream,moisturizer,"normal , oily",hydration,5
34,ultra-light liquid moisturiser,moisturizer,oily,hydration,4
35,cerene illuminating water cream,moisturizer,"oily , combination","hydration ,  brokenbarrier",4
36,cerene hydrating cloud cream,moisturizer,"normal , dry , sensitive","hydration ,  brokenbarrier",5
37,barrier relief lightweight ceramide moisturizer,moisturizer,"oily , combination","hydration ,  brokenbarrier",5
38,air brush facial all in one lactic acid exfoliator,scrub,dry,"hydration ,  exfoliation",5
39,"2% bha exfoliator salicylic acid 2% + niacinamide
",serum,"oily , combination","whitehead ,  blackhead ,  exfoliation",5
40,amrit – face serum mist- hyaluronic & probiotics,serum,combination,"acne ,  darkspots",5
41,soultree nourishing cream - saffron & almond oil with natural vitamin e,gel,"dry , normal",hydration,3
42,"ilana clarifying & calming night gel with niacinamide, green tea and cica",gel,oily,"hydration ,  brokenbarrier",4
43,kaya purifying cleanser - acne prone skin - salicylic acid,cleanser,"oily , combination",acne,4
44,protego 46 mineral sunscreen,sunscreen,"oily , dry",sunprotection,5
45,dr.sheth's shea butter & amino acid multitasking cream,moisturizer,dry,brokenbarrier,4
46,dr.sheth's centella & niacinamide serum,serum,dry,brokenbarrier,3
47,vitamin c brightening serum vitamin c 10% + arbutin 2% + nag 2%,serum,sensitive,pigmentation,5
48,malazia hydra veil gel moisturizer,gel,dry,acne,5
49,barrier plus peptide ceramide moisturizer,moisturizer,"dry , sensitive","hydration ,  brokenbarrier ,  irritation",4
50,6% aha bha exfoliator 5% glycolic acid + 1% salicylic acid,scrub,"dry , normal , oily , combination","whitehead ,  blackhead ,  exfoliation",4
51,dr.sheth's neem & salicylic acid face wash,facewash,"oily , dry","whitehead ,  blackhead ,  acne",3
52,douse barrier repair face cream,cream,"dry , normal",hydration,5
53,invisible sunscreen spf 40 pa +++ sunscreen for oily skin,sunscreen,oily,sunprotection,4
54,nourrir cleanseme gentle skin cleanser face wash,facewash,"dry , sensitive","brokenbarrier ,  hydration",3
55,forest essentials aloevera juice,toner,dry,hydration,4
56,earth rhythm vitamin e intense nourish day cream,cream,dry,brokenbarrier,5
57,phyto ceramide deep moisturizer,moisturizer,normal,hydration,3
58,the derma co pore minimizing priming sunscreen with spf 50 & pa+++,sunscreen,normal,pores,4
59,the derma co 2% salicylic acid serum,serum,"normal , dry , combination","whitehead ,  blackhead ,  acne",5
60,"the derma co pore minimizing face serum with 4% niacinamide, 5% pha and p-refinyl ",serum,"normal , dry , combination , oily , sensitive",pores,4
61,the derma co pore minimizing daily face moisturizer with 3% niacinamide 3% pha and p-refinyl,moisturizer,dry,pores,4
62,dot & key watermelon cooling sunscreen spf 50 pa+++,sunscreen,"oily , combination",sunprotection,5
63,the derma co 2% niacinamide oily skin cleanser,cleanser,"oily , sensitive , combination","pigmentation , darkspots",3
64,the derma co pore minimizing clay daily face wash with 1% niacinamide & 2% pha,facewash,"sensitive , combination",pores,4
65,the derma co 2% kojic acid cream,cream,"normal , sensitive",pigmentation,5
66,mamaearth beetroot hydraful moisturizer with beetroot & hyaluronic acid,moisturizer,normal,hydration,3
67,the derma co 2% hyalacalamine hydrating sunscreen for uva/uvb protection with spf 50 & pa+++,sunscreen,"normal , dry , combination , oily , sensitive",sunprotection,5
68,kama aryuveda rose jasmine face cleanser,cleanser,"normal , dry , combination , oily , sensitive",hydration,5
69,sun’nil jojoba-grapeseed moisturising sun protection lotion,moisturizer,"normal , dry","sunprotection , brokenbarrier",4
70,ethiglo face wash,facewash,"sensitive , combination","pigmentation , darkspots",5
71,melaglow rich cream,cream,"normal , dry , combination , oily , sensitive",darkspots,5
72,zitmoist gel for acne prone skin,gel,oily,acne,5
